PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA,FGP,TPP,FTP
Michael Jordan,1997,920,1892,111,297,480,576,0.486257928,0.373737374,0.833333333
Karl Malone,1997,864,1571,0,13,521,690,0.549968173,0,0.755072464
Glen Rice,1997,722,1513,207,440,464,535,0.477197621,0.470454545,0.86728972
Shaquille O'Neal,1997,552,991,0,4,232,479,0.557013118,0,0.48434238
Mitch Richmond,1997,717,1578,204,477,457,531,0.454372624,0.427672956,0.860640301
Latrell Sprewell,1997,649,1444,147,415,493,585,0.449445983,0.354216867,0.842735043
Allen Iverson,1997,625,1504,155,455,382,544,0.415558511,0.340659341,0.702205882
Hakeem Olajuwon,1997,727,1426,5,16,351,446,0.509817672,0.3125,0.786995516
Patrick Ewing,1997,655,1342,2,9,439,582,0.488077496,0.222222222,0.754295533
LaPhonso Ellis,1997,445,1014,95,259,218,282,0.438856016,0.366795367,0.773049645
Kendall Gill,1997,644,1453,74,220,427,536,0.443220922,0.336363636,0.796641791
Gary Payton,1997,706,1482,119,380,254,355,0.476383266,0.313157895,0.715492958
Reggie Miller,1997,552,1244,229,536,418,475,0.443729904,0.427238806,0.88
Grant Hill,1997,625,1259,10,33,450,633,0.496425735,0.303030303,0.710900474
Glenn Robinson,1997,669,1438,63,180,288,364,0.465229485,0.35,0.791208791
Vin Baker,1997,632,1251,15,54,358,521,0.505195843,0.277777778,0.687140115
Jerry Stackhouse,1997,533,1308,102,342,511,667,0.407492355,0.298245614,0.766116942
Tom Gugliotta,1997,592,1339,24,93,464,566,0.442120986,0.258064516,0.819787986
Anfernee Hardaway,1997,421,941,85,267,283,345,0.447396387,0.31835206,0.820289855
Tim Hardaway,1997,575,1384,203,590,291,364,0.415462428,0.344067797,0.799450549
Scottie Pippen,1997,648,1366,156,424,204,291,0.474377745,0.367924528,0.701030928
Damon Stoudamire,1997,564,1407,176,496,330,401,0.400852878,0.35483871,0.822942643
Kevin Johnson,1997,441,890,89,202,439,515,0.495505618,0.440594059,0.852427184
Chris Webber,1997,604,1167,60,151,177,313,0.51756641,0.397350993,0.565495208
Steven Smith,1997,491,1145,130,388,333,393,0.428820961,0.335051546,0.847328244
Alonzo Mourning,1997,473,885,1,9,363,565,0.534463277,0.111111111,0.642477876
Terrell Brandon,1997,575,1313,101,271,268,297,0.437928408,0.372693727,0.902356902
Charles Barkley,1997,335,692,58,205,288,415,0.484104046,0.282926829,0.693975904
Juwan Howard,1997,638,1313,0,2,294,389,0.485910129,0,0.755784062
Chris Gatling,1997,327,623,1,6,236,329,0.524879615,0.166666667,0.717325228
Shawn Kemp,1997,526,1032,12,33,452,609,0.509689922,0.363636364,0.742200328
Shareef Abdur-Rahim,1997,550,1214,7,27,387,519,0.453047776,0.259259259,0.74566474
Joe Smith,1997,587,1293,12,46,307,377,0.453982985,0.260869565,0.814323607
Antonio McDyess,1997,536,1157,6,35,274,387,0.46326707,0.171428571,0.708010336
Dominique Wilkins,1997,397,953,70,239,281,350,0.416579224,0.292887029,0.802857143
Christian Laettner,1997,548,1128,31,88,359,440,0.485815603,0.352272727,0.815909091
Derrick Coleman,1997,364,836,32,119,272,365,0.435406699,0.268907563,0.745205479
Clyde Drexler,1997,397,899,119,335,201,268,0.44160178,0.355223881,0.75
Antoine Walker,1997,577,1355,52,159,231,366,0.425830258,0.327044025,0.631147541
Kenny Anderson,1997,485,1137,132,366,334,435,0.426561126,0.360655738,0.767816092
Mookie Blaylock,1997,501,1159,221,604,131,174,0.432269198,0.36589404,0.752873563
Rony Seikaly,1997,460,907,0,3,357,500,0.507166483,0,0.714
Rod Strickland,1997,515,1105,13,77,367,497,0.466063348,0.168831169,0.738430584
Eddie Jones,1997,473,1081,152,389,276,337,0.437557817,0.390745501,0.818991098
Rik Smits,1997,356,733,2,8,173,217,0.485675307,0.25,0.797235023
Kevin Garnett,1997,549,1100,6,21,205,272,0.499090909,0.285714286,0.753676471
David Wesley,1997,456,974,103,286,225,288,0.468172485,0.36013986,0.78125
Detlef Schrempf,1997,356,724,57,161,253,316,0.491712707,0.354037267,0.800632911
Dale Ellis,1997,477,1151,192,528,215,263,0.414422242,0.363636364,0.817490494
Kerry Kittles,1997,507,1189,158,419,175,227,0.426408747,0.377088305,0.77092511
Walt Williams,1997,419,982,175,437,186,243,0.426680244,0.400457666,0.765432099
Anthony Mason,1997,433,825,1,3,319,428,0.524848485,0.333333333,0.745327103
Bryant Reeves,1997,498,1025,1,11,216,307,0.485853659,0.090909091,0.703583062
Isaiah Rider,1997,456,983,99,257,212,261,0.463886063,0.385214008,0.812260536
Jim Jackson,1997,444,1029,86,247,252,310,0.43148688,0.348178138,0.812903226
Sam Cassell,1997,337,783,81,231,212,251,0.430395913,0.350649351,0.844621514
Stephon Marbury,1997,355,871,102,288,245,337,0.407577497,0.354166667,0.727002967
Rick Fox,1997,433,950,101,278,207,263,0.455789474,0.363309353,0.787072243
Nick Van Exel,1997,432,1075,177,468,165,200,0.401860465,0.378205128,0.825
Rasheed Wallace,1997,380,681,9,33,169,265,0.558002937,0.272727273,0.637735849
Clifford Robinson,1997,444,1043,121,350,215,309,0.42569511,0.345714286,0.69579288
Michael Finley,1997,475,1071,101,280,198,245,0.443510738,0.360714286,0.808163265
Eric Williams,1997,374,820,2,8,328,436,0.456097561,0.25,0.752293578
Sean Elliott,1997,196,464,42,126,148,196,0.422413793,0.333333333,0.755102041
Elden Campbell,1997,442,942,1,4,263,370,0.469214437,0.25,0.710810811
Bryant Stith,1997,251,603,70,182,202,234,0.416252073,0.384615385,0.863247863
Loy Vaught,1997,542,1084,2,12,134,189,0.5,0.166666667,0.708994709
Marcus Camby,1997,375,778,2,14,183,264,0.482005141,0.142857143,0.693181818
Dell Curry,1997,384,836,126,296,114,142,0.459330144,0.425675676,0.802816901
Allan Houston,1997,437,1032,148,384,175,218,0.423449612,0.385416667,0.802752294
Joe Dumars,1997,385,875,166,384,223,258,0.44,0.432291667,0.864341085
Cedric Ceballos,1997,282,617,26,102,139,186,0.457050243,0.254901961,0.747311828
Jeff Hornacek,1997,413,855,72,195,293,326,0.483040936,0.369230769,0.898773006
Todd Day,1997,397,998,126,348,256,331,0.397795591,0.362068966,0.773413897
Doug Christie,1997,396,949,147,383,237,306,0.417281349,0.38381201,0.774509804
Chris Mullin,1997,438,792,83,202,184,213,0.553030303,0.410891089,0.863849765
Anthony Peeler,1997,402,1011,128,343,109,133,0.397626113,0.373177843,0.819548872
John Stockton,1997,416,759,76,180,275,325,0.548089592,0.422222222,0.846153846
Robert Pack,1997,272,693,31,112,196,243,0.392496392,0.276785714,0.806584362
Lindsey Hunter,1997,421,1042,166,468,158,203,0.40403071,0.354700855,0.778325123
Dino Radja,1997,149,339,0,1,51,71,0.439528024,0,0.718309859
Hersey Hawkins,1997,369,795,143,355,258,295,0.464150943,0.402816901,0.874576271
Rex Chapman,1997,332,749,110,314,124,149,0.443257677,0.350318471,0.832214765
John Starks,1997,369,856,150,407,173,225,0.431074766,0.368550369,0.768888889
Mahmoud Abdul-Rauf,1997,411,924,94,246,115,136,0.444805195,0.382113821,0.845588235
Danny Manning,1997,426,795,7,36,181,251,0.535849057,0.194444444,0.721115538
Wesley Person,1997,409,903,171,414,91,114,0.452934662,0.413043478,0.798245614
Malik Sealy,1997,373,942,79,222,254,290,0.39596603,0.355855856,0.875862069
Arvydas Sabonis,1997,328,658,49,132,223,287,0.498480243,0.371212121,0.777003484
Ray Allen,1997,390,908,117,298,205,249,0.429515419,0.39261745,0.823293173
Jayson Williams,1997,221,540,0,4,108,183,0.409259259,0,0.590163934
Chris Mills,1997,405,894,86,220,176,209,0.453020134,0.390909091,0.842105263
Toni Kukoc,1997,285,605,50,151,134,174,0.47107438,0.331125828,0.770114943
Rodney Rogers,1997,408,884,65,180,191,288,0.461538462,0.361111111,0.663194444
Shawn Bradley,1997,406,905,0,8,149,228,0.448618785,0,0.653508772
Otis Thorpe,1997,419,787,0,2,197,301,0.532401525,0,0.65448505
Tyrone Hill,1997,357,595,0,1,241,381,0.6,0,0.632545932
Vernon Maxwell,1997,340,906,115,372,134,180,0.375275938,0.309139785,0.744444444
Larry Johnson,1997,376,735,34,105,190,274,0.511564626,0.323809524,0.693430657
Vlade Divac,1997,418,847,11,47,177,259,0.493506494,0.234042553,0.683397683
Horace Grant,1997,358,695,1,6,128,179,0.515107914,0.166666667,0.715083799
Bobby Phills,1997,328,766,85,216,125,174,0.428198433,0.393518519,0.718390805
Sasha Danilovic,1997,248,570,85,236,121,151,0.435087719,0.360169492,0.801324503
Olden Polynice,1997,442,967,0,6,141,251,0.457083764,0,0.561752988
Dana Barros,1997,110,253,43,105,37,43,0.434782609,0.40952381,0.860465116
