Team,GM,Team_Payroll,Winning_Percentage,Year,Relative_Payroll
Arizona DBacks,Joe Garagiola,31614500,0.401,1998,0.720238381
Atlanta Braves,John Schuerholz,61708000,0.654,1998,1.405825491
Baltimore Orioles,Pat Gillick,71860921,0.488,1998,1.637128323
Boston Red Sox,Dan Duquette,59497000,0.568,1998,1.35545471
Chicago Cubs,Ed Lynch,49816000,0.552,1998,1.134903135
Chicago White Sox,Ron Schueler,35180000,0.494,1998,0.801467245
Cincinnati Reds,Jim Bowden,20707333,0.475,1998,0.471752392
Cleveland Indians,John Hart,59543165,0.549,1998,1.356506437
Colorado Rockies,Bob Gebhard,47714648,0.475,1998,1.087030344
Detroit Tigers,Randy Smith,19237500,0.401,1998,0.438266803
Houston Astros,Gerry Hunsicker,48304000,0.63,1998,1.100456902
KC Royals,Herk Robinson,35610000,0.447,1998,0.811263463
LA Angels,Bill Bavasi,48389000,0.525,1998,1.102393364
LA Dodgers,Fred Claire/Tommy Lasorda,62806667,0.512,1998,1.430855213
Miami Marlins,Dave Dombrowski,15141000,0.333,1998,0.344940749
Milwaukee Brewers,Sal Bando,31897903,0.457,1998,0.72669484
Minnesota Twins,Terry Ryan,24527500,0.432,1998,0.558783055
Montreal Expos,Jim Beattie,8317000,0.401,1998,0.189477063
NY Mets,Steve Phillips,58660665,0.543,1998,1.33640141
NY Yankees,Brian Cashman,65663698,0.704,1998,1.495943808
Oakland Athletics,Billy Beane,22463500,0.457,1998,0.511761213
Philadelphia Phillies,Ed Wade,28622500,0.463,1998,0.652074936
Pittsburgh Pirates,Cam Bonifay,13695000,0.426,1998,0.311998122
San Diego Padres,Kevin Towers,53066166,0.605,1998,1.208948092
San Francisco Giants,Brian Sabean,48514715,0.546,1998,1.10525739
Seattle Mariners,Woody Woodward,43698136,0.472,1998,0.995526569
St. Louis Cardinals,Walt Jocketty,44090854,0.512,1998,1.004473431
Tampa Bay Rays,Chuck LaMar,27370000,0.389,1998,0.623540606
Texas Rangers,Douglas Melvin,60519595,0.543,1998,1.378751367
Toronto Blue Jays,Gord Ash,34158500,0.543,1998,0.778195535
Arizona DBacks,Joe Garagiola,70496000,0.617,1999,1.530313563
Atlanta Braves,John Schuerholz,74890000,0.636,1999,1.625697667
Baltimore Orioles,Frank Wren,72198363,0.481,1999,1.567268131
Boston Red Sox,Dan Duquette,71725000,0.58,1999,1.556992458
Chicago Cubs,Ed Lynch,55443500,0.414,1999,1.203556798
Chicago White Sox,Ron Schueler,24535000,0.466,1999,0.532601045
Cincinnati Reds,Jim Bowden,42142761,0.589,1999,0.914826923
Cleveland Indians,John Hart,73278458,0.599,1999,1.590714624
Colorado Rockies,Bob Gebhard,54442505,0.444,1999,1.181827392
Detroit Tigers,Randy Smith,34959667,0.429,1999,0.758897704
Houston Astros,Gerry Hunsicker,54339000,0.599,1999,1.179580525
KC Royals,Herk Robinson,16557000,0.398,1999,0.359416161
LA Angels,Bill Bavasi,49868167,0.432,1999,1.082528545
LA Dodgers,Kevin Malone,71115786,0.475,1999,1.543767758
Miami Marlins,Dave Dombrowski,15150000,0.395,1999,0.328873276
Milwaukee Brewers,Sal Bando/Dean Taylor,42927395,0.46,1999,0.931859606
Minnesota Twins,Terry Ryan,16345000,0.394,1999,0.354814106
Montreal Expos,Jim Beattie,16413000,0.42,1999,0.356290237
NY Mets,Steve Phillips,71506427,0.595,1999,1.552247718
NY Yankees,Brian Cashman,88180712,0.605,1999,1.914209878
Oakland Athletics,Billy Beane,24175333,0.537,1999,0.524793463
Philadelphia Phillies,Ed Wade,30568167,0.475,1999,0.66356787
Pittsburgh Pirates,Cam Bonifay,24167667,0.484,1999,0.524627051
San Diego Padres,Kevin Towers,45832180,0.457,1999,0.994916118
San Francisco Giants,Brian Sabean,45959557,0.531,1999,0.997681194
Seattle Mariners,Woody Woodward,44396336,0.488,1999,0.963747094
